App#,Roll#,Score,UR-Rank,Category-Ranks
N26018559,141507096021,66.7,,241
N26136330,108030033892,66.7,,243
N26131045,141479028461,66.7,,242
N26008055,101295056820,66.7,,244
N26100240,135828024167,66.65,,246
N26064470,133647085190,66.65,,245
N26052014,141683076752,66.55,,251
N26118164,107850082148,66.55,,253
N26145527,141711110327,66.55,,247
N26139707,108696005738,66.55,,250
N26027791,141683078079,66.55,,252
N26088291,108116118181,66.55,,248
N26024444,142141063149,66.55,,249
N26078706,108756070690,66.4,,254
N26051765,141507096052,66.4,,255
N26005115,108747015536,66.0,,257
N26084775,103281005830,66.0,,256
N26069373,112176034809,65.95,,258
N26054239,108116116172,65.85,,260
N26009018,101026033695,65.85,,259
N26036279,108588049216,65.7,,261
N26087651,134045066559,65.55,,265
N26117460,108116117867,65.55,,264
N26051565,108800120784,65.55,,266
N26142305,140832071217,65.55,,262
N26142957,134022061726,65.55,,263
N26068006,124963073291,65.4,,268
N26004550,108017093192,65.4,,267
N26028291,109697097906,65.3,,269
N26085447,107932111126,65.25,,271
N26028158,109451050153,65.25,,270
N26084847,107932111364,65.15,,272
N26054857,115767079293,65.0,,273
N26067474,108800120816,65.0,,274
N26092695,100926092197,65.0,,275
N26075672,107866041058,64.95,,277
N26063019,141682076182,64.95,,278
N26051533,108002021826,64.95,,276
N26002059,107998051215,64.85,,279
N26038727,103214111721,64.85,,280
N26068182,108560034252,64.7,,282
N26146360,107976091399,64.7,,281
N26066813,108017093286,64.65,,283
N26073628,101897113248,64.55,,287
N26110921,107995063673,64.55,,285
N26112267,133035081361,64.55,,286
N26146919,130647045653,64.55,,284
N26046759,109208002612,64.4,,289
N26025479,141683076964,64.4,,292
N26153065,141478041542,64.4,,290
N26000712,125019050579,64.4,,294
N26060742,108027000536,64.4,,288
N26006695,102288068358,64.4,,291
N26006103,140939013936,64.4,,293
N26125351,108116116442,64.25,,295
N26084460,109531118460,64.1,,296
N26031816,133035081293,64.0,,297
N26055715,107932111083,63.95,,299
N26130473,140038064370,63.95,,298
N26049708,100583058615,63.85,,300
N26097737,108554049589,63.85,,301
N26038246,113299121198,63.8,,302
N26094172,101295057145,63.7,,303
N26032627,142141063157,63.7,,304
N26143215,108031001900,63.7,,305
N26039093,101916089498,63.65,,306
N26030107,101118075238,63.55,,311
N26029115,130677018149,63.55,,309
N26116916,142117069626,63.55,,308
N26062671,101118074808,63.55,,307
N26091534,100141073844,63.55,,310
N26109581,108000004860,63.5,,312
N26078654,109002009461,63.4,,313
N26106001,130647045638,63.15,,314
N26129413,133400100577,63.1,,315
N26051710,108116117381,63.1,,317
N26002839,100362114590,63.1,,316
N26149771,141683076905,63.0,,320
N26136164,141547063097,63.0,,318
N26042078,130632109328,63.0,,319
N26116535,137492020928,63.0,,321
N26088317,102172118791,62.95,,322
N26095394,107797120384,62.95,,323
N26068148,108116117190,62.8,,324
N26038267,140950025087,62.65,,325
N26125574,100926092556,62.55,,326
N26142961,108567046105,62.55,,327
N26049882,116678113578,62.55,,328
N26000145,108116117535,62.4,,329
N26091744,101275081647,62.25,,331
N26148473,114089098612,62.25,,332
N26064442,141711110216,62.25,,334
N26088772,108774086265,62.25,,330
N26010597,111355053426,62.25,,333
N26119458,125019050740,62.1,,335
N26128581,100141073898,62.0,,336
N26011540,108588049193,62.0,,337
N26000065,108567045902,62.0,,338
N26054341,141683077013,61.95,,339
N26067218,101897113237,61.85,,340
N26004060,108040016214,61.7,,344
N26052916,137202034043,61.7,,343
N26102184,108554049601,61.7,,342
N26102826,141479028850,61.7,,341
N26131340,107976091371,61.55,,345
N26146947,133958032649,61.55,,347
N26061010,140676062389,61.55,,346
N26012817,108116116326,61.55,,348
N26027147,137301095691,61.4,,351
N26028946,133440025766,61.4,,350
N26049334,101118075260,61.4,,349
N26011925,100926092388,61.25,,352
N26058138,108320030814,61.1,,353
N26032128,108116117953,60.95,,354
N26004321,128847100291,60.85,,356
N26087804,115867064401,60.85,,357
N26079479,115008076038,60.85,,358
N26025927,125019050823,60.85,,355
N26039695,109633106884,60.7,,359
N26086658,108556024850,60.55,,360
N26045757,101916089506,60.5,,361
N26064666,108050083976,60.4,,365
N26123514,109697098151,60.4,,363
N26056592,126478017920,60.4,,362
N26037678,108817096678,60.4,,364
N26055284,108116117603,60.4,,366
N26094027,125019050711,60.4,,367
N26092292,109531118324,60.25,,369
N26057303,108665072899,60.25,,370
N26103420,108588049093,60.25,,368
N26111044,101270072440,60.25,,371
N26152839,142250089976,60.25,,372
N26085914,131398061450,60.0,,373
N26052468,109531118288,59.95,,374
N26069839,108800121050,59.95,,375
N26102550,108116116830,59.85,,376
N26124905,100926092555,59.8,,378
N26029916,108800120747,59.8,,377
N26072062,104800085706,59.7,,379
N26135255,104202016018,59.7,,380
N26067243,116678113610,59.65,,381
N26031750,108749086380,59.55,,383
N26111766,100926092727,59.55,,384
N26152225,114389051764,59.55,,382
N26010640,101647014327,59.5,,385
N26056109,107797120336,59.4,,390
N26037662,108116115564,59.4,,388
N26061342,141479028132,59.4,,386
N26108149,108777114290,59.4,,387
N26002368,108481042262,59.4,,392
N26058579,108800120796,59.4,,391
N26029141,142117069752,59.4,,393
N26095491,108116118038,59.4,,388
N26089361,108017093089,59.25,,398
N26029863,135850119237,59.25,,396
N26085208,100362114680,59.25,,397
N26046052,108116117594,59.25,,395
N26095553,108800120865,59.25,,394
N26098686,108320030648,59.1,,403
N26107885,108553044895,59.1,,401
N26111004,108050084655,59.1,,402
N26003869,102999025536,59.1,,400
N26018402,108800120494,59.1,,405
N26113985,133440025887,59.1,,404
N26002712,108116115505,59.1,,399
N26051901,141478041853,59.0,,406
N26003624,142117069220,58.95,,407
N26140867,123443099543,58.85,,408
N26036636,140832071073,58.8,,409
N26091364,140832071339,58.7,,410
N26108365,108800121104,58.55,,412
N26095673,140799027990,58.55,,411
N26140995,109633107067,58.4,,415
N26101788,108773085464,58.4,,413
N26030129,125019050613,58.4,,416
N26024135,115902061128,58.4,,414
N26088831,100926092692,58.35,,418
N26073234,107991005463,58.35,,419
N26008991,133440025751,58.35,,417
N26093628,102288068430,58.25,,422
N26042371,141585088593,58.25,,421
N26047063,140939013748,58.25,,420
N26147615,138190069202,58.2,,423
N26005261,140149006813,58.2,,424
N26138452,108000004542,58.1,,429
N26010875,116678113518,58.1,,428
N26008794,116678113336,58.1,,426
N26000076,108756070138,58.1,,427
N26038509,133439025371,58.1,,425
N26143709,138814082613,57.95,,432
N26106840,108116117248,57.95,,434
N26095918,142157021116,57.95,,433
N26044886,108116117765,57.95,,431
N26054646,108554049996,57.95,,435
N26020714,108800120497,57.95,,430
N26108734,142226108730,57.85,,436
N26086845,137485014776,57.8,,437
N26041157,108481043281,57.7,,440
N26127203,142062054494,57.7,,438
N26006029,107932111239,57.7,,439
N26077575,108683022472,57.65,,442
N26081801,107959085871,57.65,,441
N26084327,108031001741,57.65,,443
N26107182,141010026003,57.55,,446
N26083161,142127056302,57.55,,444
N26079022,109345032365,57.55,,445
N26008237,100141073735,57.4,,449
N26093669,108116117442,57.4,,448
N26051124,141686085600,57.4,,447
N26136662,133901006581,57.25,,451
N26124988,107906055726,57.25,,450
N26033458,108116115952,57.1,,453
N26096395,141683077268,57.1,,452
N26018936,101897113147,57.05,,454
N26119724,108116118078,56.95,,455
N26044093,116678113570,56.95,,456
N26099843,107949101741,56.85,,457
N26131901,107866040877,56.85,,458
N26019863,108774086168,56.7,,459
N26074081,126756112351,56.7,,461
N26151861,108044102707,56.7,,460
N26073754,107945106137,56.65,,463
N26121128,123887121452,56.65,,462
N26055154,108017093274,56.55,,465
N26096642,108481043131,56.55,,466
N26076989,138752119708,56.55,,464
N26084438,108553044853,56.55,,467
N26107511,140140047094,56.4,,468
N26081393,108747015397,56.4,,472
N26014636,115798104848,56.4,,471
N26107881,133035081356,56.4,,473
N26056347,108000004641,56.4,,469
N26034459,140660040216,56.4,,470
N26034305,101262112462,56.35,,475
N26031627,109577087378,56.35,,474
N26093163,109564010008,56.25,,479
N26087217,102172118924,56.25,,478
N26053694,108807000627,56.25,,476
N26060306,109451050193,56.25,,477
N26123879,108777114319,56.1,,482
N26094624,115857056509,56.1,,481
N26022420,114411017503,56.1,,484
N26097418,115851064250,56.1,,480
N26062639,108807000640,56.1,,483
N26042464,115135112033,56.05,,485
N26061517,101897112792,55.95,,489
N26148355,141683076898,55.95,,491
N26093738,108116117652,55.95,,490
N26008486,142224019719,55.95,,487
N26057177,109208002627,55.95,,486
N26067125,101971055482,55.95,,488
N26020132,109697097898,55.85,,492
N26136816,108040016507,55.8,,493
N26126955,108116117274,55.8,,494
N26150185,100926092593,55.7,,496
N26150281,108449083180,55.7,,495
N26065087,107967037876,55.65,,499
N26134522,142224019684,55.65,,497
N26086687,115798104926,55.65,,498
N26060735,108800120804,55.55,,500
N26154375,134022061739,55.55,,501
N26117167,115008076071,55.5,,503
N26018502,107949101624,55.5,,502
N26097992,113299121257,55.4,,505
N26017530,108116117737,55.4,,504
N26054988,130632108882,55.35,,506
N26035365,137470057582,55.25,,509
N26071517,135766091473,55.25,,507
N26072918,108449083056,55.25,,510
N26098439,114089098533,55.25,,508
N26064088,114118095909,55.1,,515
N26108328,115135112160,55.1,,512
N26107427,141479028639,55.1,,514
N26029073,108040016554,55.1,,513
N26005358,108774086143,55.1,,511
N26124409,142127056360,55.05,,516
N26090557,108116118030,54.95,,518
N26135379,107932111211,54.95,,517
N26043239,108116116738,54.85,,520
N26080211,104973052168,54.85,,519
N26105436,108992093916,54.8,,523
N26023027,101275081542,54.8,,524
N26079395,108683022703,54.8,,522
N26112410,130632108978,54.8,,521
N26071731,141507096072,54.7,,525
N26017585,103104025246,54.65,,526
N26076890,102764044392,54.55,,527
N26016937,108320031185,54.55,,528
N26042602,114411017379,54.5,,529
N26132855,108044102478,54.4,,530
N26103304,100781074098,54.4,,531
N26017376,104591000723,54.35,,533
N26099992,108366043808,54.35,,532
N26075962,104595046256,45.2,,Div-1
