App#,Roll#,Score,UR-Rank,Category-Ranks
N26005587,108050084333,120.2,208.0,OBC-37
N26074923,111353052814,120.2,209.0,
N26154198,114328119633,120.05,210.0,
N26082586,141668108248,120.05,211.0,OBC-38
N26073643,108777114463,119.9,212.0,
N26068251,138960091827,119.9,213.0,SC-10
N26069450,115799038455,119.9,214.0,OBC-39
N26088189,141479028385,119.65,215.0,
N26051530,107906055596,119.5,216.0,
N26029967,142127056212,119.5,217.0,
N26064084,112176035274,119.35,218.0,
N26074043,115903055334,119.35,219.0,"OBC-40, UR-Div-1, OBC-Div-1"
N26099087,108683022731,119.2,220.0,
N26037771,107293027122,119.2,221.0,JK-2
N26042933,108763068116,119.2,222.0,
N26019577,108050083912,119.2,223.0,
N26005932,108017092987,119.2,224.0,
N26094754,141654005323,119.05,225.0,
N26006228,141683077828,119.05,226.0,
N26091649,108554050040,119.05,227.0,
N26142211,141507096170,118.75,228.0,
N26064616,101897113233,118.5,229.0,
N26123429,108116117685,118.5,230.0,
N26023826,109345031894,118.5,231.0,OBC-41
N26101047,110624080224,118.35,232.0,
N26085318,123036053761,118.35,233.0,
N26064394,142141063192,118.35,234.0,
N26123034,104273008574,118.35,235.0,OBC-42
N26063394,141547062766,118.35,236.0,OBC-43
N26143681,107998051401,118.35,237.0,OBC-44
N26001238,108560034233,118.35,238.0,
N26024845,101118075230,118.2,239.0,
N26130734,108040016673,118.2,240.0,
N26123378,108799067858,118.2,241.0,SC-11
N26093339,109006006239,118.2,242.0,
N26069816,137201073150,118.2,243.0,
N26040665,111365012741,118.2,244.0,
N26022500,115806098641,118.05,245.0,OBC-45
N26122672,107906055722,118.05,246.0,
N26113640,116678113692,118.05,247.0,
N26069569,112176034810,117.9,248.0,
N26053025,108588048225,117.9,249.0,
N26096800,134044060176,117.9,250.0,
N26012651,140799027905,117.9,251.0,
N26035703,108588048999,117.8,252.0,
N26134298,116678113471,117.75,253.0,OBC-46
N26070669,101897113242,117.75,254.0,
N26035466,141551056051,117.6,255.0,
N26063984,108116117185,117.6,256.0,
N26124149,109208002762,117.5,257.0,
N26020585,100362114605,117.4,258.0,
N26108934,100362114713,117.35,259.0,
N26102623,115028007429,117.35,260.0,
N26027194,109338109489,117.35,261.0,
N26150580,115806098767,117.35,262.0,
N26075449,141549060810,117.2,263.0,OBC-47
N26121093,113305104619,117.2,264.0,OBC-48
N26062886,101118075277,117.05,265.0,
N26117765,108588049125,117.05,266.0,
N26125949,108044102659,117.05,267.0,
N26092161,115803037747,117.05,268.0,OBC-49
N26123493,108320030065,116.9,269.0,OBC-50
N26148699,137492020980,116.9,270.0,
N26045610,141683076743,116.9,271.0,
N26132829,138806071887,116.9,272.0,
N26088441,108588049072,116.9,273.0,
N26049689,108116117775,116.9,274.0,SC-12
N26044721,137492020834,116.75,275.0,
N26086563,137507110896,116.6,276.0,
N26145943,141875022254,116.5,277.0,
N26050173,108554049985,116.35,278.0,
N26073093,108116117000,116.35,279.0,OBC-51
N26111627,141875022219,116.35,280.0,
N26050574,133958032536,116.35,281.0,
N26010014,141893065845,116.2,282.0,
N26062292,128725039089,116.2,283.0,
N26023866,111365012962,116.2,284.0,OBC-52
N26008152,108799067636,116.2,285.0,
N26128059,108044103317,116.2,286.0,
N26000295,130727054027,116.2,287.0,OBC-53
N26069540,108116117799,116.05,288.0,
N26000729,133958032458,116.05,289.0,OBC-54
N26078289,108800120834,116.05,290.0,
N26065037,139993011958,116.05,291.0,OBC-55
N26007678,116699059441,116.05,292.0,
N26009268,108588049349,116.05,292.0,OBC-56
N26033604,108116118134,116.05,294.0,
N26122421,116596079621,116.05,295.0,
N26119378,109208002307,115.9,296.0,
N26009452,141864088902,115.9,297.0,OBC-57
N26004997,108375003684,115.9,298.0,
N26013817,109577086860,115.9,299.0,
N26010194,108348020599,115.9,300.0,
N26077792,100362114669,115.75,301.0,
N26030875,109208002164,115.6,302.0,
N26096632,108116118039,115.6,303.0,
N26107728,102764044419,115.5,304.0,OBC-58
N26035659,107997084769,115.5,305.0,OBC-59
N26054980,109286005954,115.35,306.0,
N26094052,142117069839,115.35,307.0,SC-13
N26004399,108817096861,115.2,308.0,
N26049513,108116115355,115.2,309.0,
N26035158,107976091248,115.2,310.0,
N26062488,107967037869,115.2,311.0,OBC-60
N26149989,115863067371,115.2,312.0,
N26137434,141875022245,115.2,313.0,
N26072705,108116116999,115.05,314.0,OBC-61
