App#,Roll#,Score,UR-Rank,Category-Ranks
N26112767,112176035563,92.15,1500.0,387
N26074342,114441010568,92.15,1502.0,388
N26126182,101971055518,92.15,1507.0,389
N26113668,110624080243,92.0,1514.0,390
N26128229,100673008184,92.0,1515.0,391
N26115634,102026063483,91.9,1522.0,392
N26083177,108116116802,91.75,1526.0,393
N26007059,140832071244,91.75,1529.0,394
N26057918,108366043755,91.75,1529.0,394
N26127827,131398061499,91.6,1539.0,396
N26044892,110624080156,91.6,1540.0,397
N26070917,101275081453,91.6,1541.0,398
N26138069,115024090847,91.6,1546.0,399
N26112198,107850082131,91.45,1548.0,400
N26074359,123037046672,91.45,1552.0,401
N26090545,140832071499,91.45,1554.0,402
N26054162,131398061405,91.3,1562.0,403
N26027419,108777114399,91.3,1566.0,404
N26071744,114403017265,91.3,1572.0,405
N26065786,108208021418,91.3,1576.0,406
N26017301,133901006467,91.3,1581.0,407
N26063590,114947110417,91.3,1582.0,408
N26038866,140043012458,91.15,1583.0,409
N26093258,108481043125,91.15,1584.0,410
N26131417,135766091608,91.15,1587.0,411
N26047107,141908105581,91.15,1592.0,412
N26115970,107850082143,91.15,1596.0,413
N26077977,108765096528,91.05,1599.0,414
N26031203,141547062937,91.0,1600.0,415
N26107018,125019050726,91.0,1603.0,416
N26039140,140670062244,90.9,1611.0,417
N26105437,109564010023,90.85,1617.0,418
N26038108,111394035729,90.75,1620.0,419
N26045875,138814082464,90.6,1635.0,420
N26019452,138696011740,90.6,1637.0,421
N26119031,108116117683,90.45,1640.0,422
N26018719,107850081756,90.45,1641.0,423
N26047620,108836038890,90.45,1644.0,424
N26123502,141908105691,90.45,1648.0,425
N26132580,108348020351,90.45,1651.0,426
N26093425,108665072735,90.45,1653.0,427
N26140025,108017093370,90.45,1655.0,428
N26097678,108682088844,90.3,1659.0,429
N26060286,108030033819,90.3,1660.0,430
N26010763,125902010914,90.3,1661.0,431
N26093412,108567046204,90.3,1662.0,432
N26135894,137301095829,90.3,1667.0,433
N26051331,111355053492,90.3,1671.0,434
N26065220,107850081818,90.3,1673.0,435
N26008075,108481042272,90.15,1675.0,436
N26133412,124271082395,90.15,1680.0,437
N26038005,112176035445,90.15,1683.0,438
N26087225,114995104754,90.15,1688.0,439
N26072612,107997084831,90.0,1695.0,440
N26150799,137201073257,90.0,1696.0,441
N26058778,109323044166,90.0,1700.0,442
N26138750,107745075721,89.85,1704.0,443
N26106647,108320031089,89.85,1705.0,444
N26054201,108683022434,89.85,1709.0,445
N26138510,104273009060,89.75,1710.0,446
N26045651,107866040748,89.75,1714.0,447
N26054404,108807000629,89.75,1717.0,448
N26084480,108756070701,89.75,1719.0,449
N26006813,134024063930,89.7,1720.0,450
N26129733,109500104328,89.6,1724.0,451
N26095669,102161025706,89.6,1725.0,452
N26126999,109245023008,89.6,1726.0,453
N26051232,104273008890,89.6,1728.0,454
N26085665,134045066556,89.6,1729.0,455
N26080529,100673007915,89.6,1730.0,456
N26071712,113302107177,89.45,1738.0,457
N26011967,108050084122,89.45,1740.0,458
N26092796,140140047241,89.45,1745.0,459
N26135629,137316011471,89.45,1745.0,459
N26070800,115822080772,89.45,1745.0,459
N26077118,138696011591,89.45,1753.0,462
N26075986,108320031040,89.45,1754.0,463
N26112320,141547062846,89.45,1755.0,464
N26141965,107939101130,89.45,1756.0,465
N26136483,115008076089,89.3,1761.0,466
N26136160,124271082397,89.3,1762.0,467
N26104096,128965093518,89.3,1765.0,468
N26047008,112176035457,89.3,1769.0,469
N26116129,140660039874,89.3,1771.0,470
N26119247,108030033871,89.3,1776.0,471
N26061135,123515063812,89.3,1779.0,472
N26056293,108050083969,89.3,1780.0,473
N26072117,114452083275,89.15,1781.0,474
N26088157,141668108261,89.15,1782.0,475
N26063045,124832094795,89.15,1784.0,476
N26089098,137364060505,89.15,1787.0,477
N26139195,108132036109,89.15,1788.0,478
N26089272,140675055418,89.15,1791.0,479
N26031164,142127056214,89.15,1792.0,480
N26109756,108836038987,89.15,1793.0,481
N26094635,133035081344,89.15,1794.0,482
N26082134,141504045016,89.15,1796.0,483
N26064209,128910094178,89.15,1797.0,484
N26103279,135766091500,89.0,1799.0,485
N26135890,133420054796,89.0,1805.0,486
N26084839,114441010434,89.0,1815.0,487
N26150637,108050084472,88.85,1819.0,488
N26134617,100781074148,88.85,1820.0,489
N26055514,138696011769,88.75,1830.0,490
N26087143,108450078393,88.75,1831.0,491
N26104358,100926092525,88.75,1832.0,492
N26041311,142127056228,88.6,1839.0,493
N26067393,113297010184,88.6,1840.0,494
N26121901,133647085209,88.6,1844.0,495
N26142793,107745075731,88.6,1846.0,496
N26061045,107995063581,88.45,1847.0,497
N26038271,109058007161,88.45,1849.0,498
N26062548,142224019792,88.45,1851.0,499
N26072023,109498036220,88.45,1852.0,500
N26025070,112176035417,88.45,1853.0,501
N26138385,140149006779,88.45,1856.0,502
N26091406,140149006706,88.45,1857.0,503
N26067757,108320029967,88.45,1859.0,504
N26111753,107932111179,88.45,1863.0,505
N26116478,131398061486,88.45,1864.0,506
N26014784,100781074436,88.45,1865.0,507
N26033021,116066073386,88.45,1871.0,508
N26001851,100116103549,88.45,1872.0,509
N26110197,112176034882,88.3,1873.0,510
N26126392,115767079413,88.3,1874.0,511
N26077477,101118075298,88.3,1877.0,512
N26064253,141683076535,88.3,1878.0,513
N26088472,108567046198,88.3,1879.0,514
N26085465,116699059532,88.3,1880.0,515
N26011976,108050083656,88.15,1889.0,516
N26122159,138814082584,88.15,1891.0,517
N26098391,103281005844,88.15,1897.0,518
N26011956,101863023571,88.15,1902.0,519
N26115701,137537057898,88.0,1909.0,520
N26109179,130677018516,88.0,1911.0,521
N26073143,109500104399,88.0,1913.0,522
N26069444,107866040782,88.0,1916.0,523
N26141536,109323044200,88.0,1918.0,524
N26090526,107998051324,88.0,1919.0,525
N26136975,123401107908,87.9,1924.0,526
N26139309,108769009340,87.85,1925.0,527
N26097868,109345032187,87.85,1933.0,528
N26106608,138141001229,87.75,1937.0,529
N26015881,142247067252,87.75,1941.0,530
N26118494,108044103094,87.75,1942.0,531
N26152190,108567045894,87.7,1944.0,532
N26069901,109577086951,87.6,1946.0,533
N26037645,141032037171,87.6,1949.0,534
N26030122,100141073762,87.6,1950.0,535
N26053973,140140047206,87.6,1956.0,536
N26055461,104869057285,87.6,1957.0,537
N26034072,141478041825,87.55,1958.0,538
N26056444,108566028998,87.45,1960.0,539
N26071677,140659072012,87.45,1964.0,540
N26078839,109451050217,87.45,1967.0,541
N26004527,108017092985,87.45,1970.0,542
N26091420,125902011180,87.45,1972.0,543
N26125015,116066073526,87.3,1978.0,544
N26119644,116700059763,87.3,1979.0,545
N26142014,141683078022,87.3,1979.0,545
N26140221,109208002331,87.3,1981.0,547
N26123451,108836038774,87.3,1985.0,548
N26044885,131355037438,87.3,1988.0,549
N26000958,108116117717,87.3,1997.0,550
N26066795,114389051665,87.3,2000.0,551
N26082832,135626000869,87.3,2002.0,552
N26060747,141561056563,87.15,2004.0,553
N26073006,108116117196,87.15,2014.0,554
N26120695,123466105215,87.15,2017.0,555
N26095044,107967038341,87.15,2018.0,556
N26139588,141473068693,87.15,2019.0,557
N26113779,114449080625,87.0,2021.0,558
N26112184,107866040853,87.0,2024.0,559
N26000753,107932110996,87.0,2025.0,560
N26070735,107939101241,87.0,2026.0,561
N26113101,107850082135,87.0,2030.0,562
N26102057,115856065297,86.85,2038.0,563
N26116202,108044102451,86.85,2042.0,564
N26106740,109208002488,86.85,2043.0,565
N26064749,100781074507,86.75,2045.0,566
N26063180,128906082666,86.7,2046.0,567
N26070421,107850082066,86.7,2047.0,568
N26053578,142157021075,86.6,2050.0,569
N26021086,141875022115,86.6,2052.0,570
N26148542,139061053848,86.6,2053.0,571
N26102802,114441010449,86.6,2054.0,572
N26130758,115806098936,86.6,2056.0,573
N26116074,101270072443,86.6,2057.0,574
N26008341,101897112923,86.55,2061.0,575
N26083198,108116117213,86.45,2062.0,576
N26118834,107995063695,86.45,2066.0,577
N26062245,133400100655,86.45,2069.0,578
N26002405,104404097732,86.45,2076.0,579
N26069008,102026063459,86.45,2077.0,580
N26127618,137518031516,86.3,2085.0,581
N26049071,137202034040,86.3,2088.0,582
N26120830,101295057178,86.3,2089.0,583
N26154413,109633107082,86.3,2093.0,584
N26066742,108050083744,86.3,2094.0,585
N26112118,111353052877,86.15,2095.0,586
N26098632,114449080600,86.15,2103.0,587
N26013778,107997084726,86.15,2104.0,588
N26097694,142250089916,86.15,2108.0,589
N26095126,109245022962,86.15,2109.0,590
N26145678,101275081735,86.15,2110.0,591
N26094498,107850082099,86.15,2110.0,591
N26064642,140775024496,86.0,2125.0,593
N26125466,137404037633,86.0,2130.0,594
N26131136,133978079863,86.0,2132.0,595
N26131128,107850082170,86.0,2134.0,596
N26077150,108743034168,86.0,2135.0,597
N26042856,114411017755,85.85,2141.0,598
N26034463,114449080335,85.85,2149.0,599
N26042121,127849097119,85.85,2152.0,600
N26016718,140149006624,85.75,2156.0,601
N26106018,141479028206,85.7,2166.0,602
N26053360,109535009636,85.7,2167.0,603
N26035793,128910094136,85.6,2169.0,604
N26028344,101270072334,85.6,2171.0,605
N26103973,101118074877,85.6,2172.0,606
N26073735,138696011589,85.6,2174.0,607
N26037555,141615097532,85.6,2174.0,607
N26127328,109697098031,85.55,2178.0,609
N26099484,109519106752,85.45,2181.0,610
N26076053,107955103839,85.45,2184.0,611
N26040179,113305104515,85.45,2186.0,612
N26096709,137316011393,85.45,2189.0,613
N26047164,140660040233,85.45,2191.0,614
N26047583,135828024033,85.45,2195.0,615
N26070664,108050084406,85.25,2214.0,616
N26077689,114089098266,85.15,617.0,617
N26106590,137332029275,85.15,2216.0,618
N26122733,102578059052,85.15,2218.0,619
N26116748,108320031107,85.15,2219.0,620
N26107477,101863023554,85.15,2220.0,"621, UR-Div-6, OBC-Div-2"
N26115606,111395090410,85.15,2221.0,622
N26037753,112176034983,85.15,2225.0,623
N26002718,140043012233,85.15,2230.0,624
N26028492,100781074449,85.15,2233.0,625
N26143077,138756105510,85.0,2237.0,626
N26133563,109208002323,85.0,2238.0,627
N26076717,108120066412,85.0,2240.0,628
N26101938,130524037372,85.0,2242.0,629
N26066055,109245022922,85.0,2254.0,630
N26007992,101575033581,85.0,2257.0,631
N26076943,116700059853,85.0,2257.0,631
N26122592,122988027828,85.0,2260.0,633
N26130091,108000004301,85.0,2261.0,634
N26023720,111395090336,84.85,2263.0,635
N26094948,135828024094,84.85,2266.0,636
N26023845,112175086611,84.85,2269.0,637
N26089795,102090086016,84.85,2271.0,638
N26113706,101275081682,84.85,2276.0,639
N26058464,111353052793,84.85,2277.0,640
N26061231,109208002218,84.85,2282.0,641
N26007131,123441099128,84.7,642.0,642
N26088525,108320030634,84.7,2288.0,643
N26015719,140659071921,84.6,2294.0,644
N26061947,142118067412,84.6,2300.0,645
N26100174,100673008140,84.55,2303.0,646
N26071582,114449080548,84.45,2305.0,647
N26101195,109451050255,84.45,2312.0,648
N26021953,141683077392,84.3,2316.0,649
N26025451,109529078999,84.3,2318.0,650
N26057889,109496036720,84.3,2320.0,651
N26066957,125019050676,84.3,2321.0,652
N26048001,141668108211,84.3,2321.0,652
N26079319,141683076553,84.3,2323.0,654
N26091919,108567046202,84.3,2330.0,655
N26046817,138758091656,84.3,2332.0,656
N26059865,109519106702,84.3,2335.0,657
N26113599,109499104105,84.3,2336.0,658
N26096224,108777114501,84.3,2337.0,659
N26099914,109245023202,84.25,2339.0,660
N26135861,113302107553,84.15,,663
N26096757,108481043132,84.15,,669
N26054898,108773085424,84.15,,672
N26003772,128854046456,84.15,,662
N26110213,140832071362,84.15,,666
N26040378,101275081425,84.15,,661
N26116953,108588049122,84.15,,670
N26008784,108320030117,84.15,,664
N26077645,115854065476,84.15,,671
N26069371,108567046185,84.15,,667
N26153206,108044102710,84.15,,668
N26124394,108665072783,84.15,,665
N26082131,123038046726,84.0,,674
N26129787,134017108109,84.0,,675
N26124812,131355037486,84.0,,676
